utilisation_key,resource_name,task,capacity,resource_type,calendar_minutes,scheduled_available_minutes,analysis_start_min,analysis_end_min,denominator_source_key,duration_min,available_person_minutes,utilisation_pct
Embedding Station,Embedding Station,,1,equipment,480960,149040.0,44640,525600,Histotechnicians,20700.0,149040.0,13.89
Grossing Station,Grossing Station,,2,equipment,480960,123660.0,44640,525600,Junior Pathologists (grossing),175070.0,247320.0,70.79
Histotechnicians,Histotechnicians,,11,scheduled,480960,149040.0,44640,525600,Histotechnicians,1234018.9737919525,1639440.0,75.27
Junior Pathologists,Junior Pathologists,,6,task_scheduled,480960,192540.0,44640,525600,Junior Pathologists,,1155240.0,
Junior Pathologists (grossing),Junior Pathologists,grossing,6,task_scheduled,480960,123660.0,44640,525600,Junior Pathologists (grossing),453964.0390947292,741960.0,61.18
Junior Pathologists (screening),Junior Pathologists,screening,6,task_scheduled,480960,68880.0,44640,525600,Junior Pathologists (screening),389120.3765514955,413280.0,94.15
Sectioning Station,Sectioning Station,,1,equipment,480960,149040.0,44640,525600,Histotechnicians,93960.0,149040.0,63.04
Senior Pathologists,Senior Pathologists,,5,scheduled,480960,63240.0,44640,525600,Senior Pathologists,256936.4843091567,316200.0,81.26
Staining Station,Staining Station,,1,equipment,480960,149040.0,44640,525600,Histotechnicians,65765.0,149040.0,44.13
Tissue Processor,Tissue Processor,,1,equipment,480960,480960.0,44640,525600,Tissue Processor,304920.0,480960.0,63.4
