group,process,stat,value
cervical_biopsy,fixation,count,733.0
cervical_biopsy,fixation,mean,0.0
cervical_biopsy,fixation,std,0.0
cervical_biopsy,fixation,min,0.0
cervical_biopsy,fixation,25%,0.0
cervical_biopsy,fixation,50%,0.0
cervical_biopsy,fixation,75%,0.0
cervical_biopsy,fixation,max,0.0
cervical_biopsy,grossing,count,732.0
cervical_biopsy,grossing,mean,0.545755540376442
cervical_biopsy,grossing,std,0.5867327983865148
cervical_biopsy,grossing,min,0.0
cervical_biopsy,grossing,25%,0.0
cervical_biopsy,grossing,50%,0.5309027777777777
cervical_biopsy,grossing,75%,0.7578125
cervical_biopsy,grossing,max,2.654166666666667
cervical_biopsy,screening,count,725.0
cervical_biopsy,screening,mean,0.8268141762452107
cervical_biopsy,screening,std,0.8566331123136913
cervical_biopsy,screening,min,0.0
cervical_biopsy,screening,25%,0.1423611111111111
cervical_biopsy,screening,50%,0.3590277777777778
cervical_biopsy,screening,75%,1.2347222222222223
cervical_biopsy,screening,max,6.127083333333333
cervical_biopsy,reporting,count,723.0
cervical_biopsy,reporting,mean,0.8824823267250652
cervical_biopsy,reporting,std,0.5174128166495622
cervical_biopsy,reporting,min,-1.4076388888888889
cervical_biopsy,reporting,25%,0.6722222222222223
cervical_biopsy,reporting,50%,0.6826388888888889
cervical_biopsy,reporting,75%,0.6930555555555555
cervical_biopsy,reporting,max,2.6034722222222224
non_cervical_biopsy,fixation,count,13163.0
non_cervical_biopsy,fixation,mean,0.0
non_cervical_biopsy,fixation,std,0.0
non_cervical_biopsy,fixation,min,0.0
non_cervical_biopsy,fixation,25%,0.0
non_cervical_biopsy,fixation,50%,0.0
non_cervical_biopsy,fixation,75%,0.0
non_cervical_biopsy,fixation,max,0.0
non_cervical_biopsy,grossing,count,13137.0
non_cervical_biopsy,grossing,mean,0.6962173208833407
non_cervical_biopsy,grossing,std,0.5197005163419824
non_cervical_biopsy,grossing,min,0.0
non_cervical_biopsy,grossing,25%,0.4861111111111111
non_cervical_biopsy,grossing,50%,0.6159722222222223
non_cervical_biopsy,grossing,75%,0.7534722222222222
non_cervical_biopsy,grossing,max,2.959722222222222
non_cervical_biopsy,screening,count,13063.0
non_cervical_biopsy,screening,mean,0.8239771789702893
non_cervical_biopsy,screening,std,0.857851821512601
non_cervical_biopsy,screening,min,-1.586111111111111
non_cervical_biopsy,screening,25%,0.14305555555555555
non_cervical_biopsy,screening,50%,0.3506944444444444
non_cervical_biopsy,screening,75%,1.2003472222222222
non_cervical_biopsy,screening,max,5.0465277777777775
non_cervical_biopsy,reporting,count,13015.0
non_cervical_biopsy,reporting,mean,0.9539376574038503
non_cervical_biopsy,reporting,std,0.5633066366542668
non_cervical_biopsy,reporting,min,-1.4152777777777779
non_cervical_biopsy,reporting,25%,0.6736111111111112
non_cervical_biopsy,reporting,50%,0.6840277777777778
non_cervical_biopsy,reporting,75%,0.6958333333333333
non_cervical_biopsy,reporting,max,2.717361111111111
