Scenario Name - Increasing Demand,,count,mean,std,min,25%,50%,75%,max,Recovery Days
Baseline - 5 pap per day,,2193,1.185,0.565,0.054,0.868,1.005,1.739,3.086,
1.5x Demand - 8 pap per day,,3282,1.234,0.566,0.049,0.887,1.019,1.781,4.006,
2x Demand - 10 pap per day,,3909,1.315,0.593,0.044,0.912,1.046,1.837,4.728,
2.5x Demand - 13 pap per day,,5113,1.423,0.58,0.068,0.95,1.089,1.869,4.003,
3x Demand - 15 pap per day,,5758,1.539,0.588,0.076,1.004,1.777,1.913,4.726,
3.5x Demand 18 pap per day,,6863,2.286,1.06,0.056,1.81,1.981,2.856,8.982,
4x Demand 20 pap per day,,7504,5.637,2.684,0.132,2.978,5.986,7.02,24.922,
Resilience metric - JR Patho Strike with increasing demand - Cyto,,,,,,,,,,
Baseline - 5 pap per day,,2193,1.185,0.565,0.054,0.868,1.005,1.739,3.086,12.66666667
1.5x Demand - 8 pap per day,,3218,1.358,0.783,0.051,0.902,1.038,1.81,7.983,18.66666667
2x Demand - 10 pap per day,,3995,1.464,0.876,0.05,0.926,1.062,1.877,9.964,18.66666667
2.5x Demand - 13 pap per day,,5158,1.59,0.903,0.055,0.976,1.744,1.908,8.852,19.66666667
3x Demand - 15 pap per day,,5736,1.798,1.043,0.055,1.026,1.811,1.964,9.068,28.66666667
3.5x Demand 18 pap per day,,6935,2.804,1.457,0.179,1.894,2.075,3.737,15.924,147.6666667
4x Demand 20 pap per day,,7370,6.544,3.069,0.132,5.035,6.798,8.13,28.035,inf
Sensitivity Analysis Cyto Service Times JR Pathologist,,,,,,,,,,
Baseline - 5-10-20,,2193,1.185,0.565,0.054,0.868,1.005,1.739,3.086,
"add 5 mins [min, mode, max] - 10-15-25",,2188,1.383,0.589,0.095,0.95,1.069,1.851,4.044,
"add 10 mins [min, mode, max]  15-20-35",,2198,2.478,0.933,0.17,1.923,2.199,2.971,9.808,
same as complex cases - 15 - 20 - 40,,2020,17.706,9.045,0.178,10.982,17.98,24.05,55.813,
Sensitivity Analysis Histo Sample Size Ratios,,,,,,,,,,
Baseline 89S - 10M - 1L,,722,5.939,1.925,2.805,4.87,5.149,6.98,15.124,
89S - 9M - 2L,,748,6.327,2.2,3.069,4.989,5.849,7.104,17.908,
89S - 8M - 3L,,715,7.388,2.65,3.035,5.766,6.976,8.85,19.919,
89S-7M-4L,,700,7.274,2.699,3.099,5.129,6.162,8.796,22.05,
89S-6M-5L,,738,8.11,2.736,3.794,6.097,7.774,9.134,18.897,
89S-5M-6L,,729,11.129,4.126,2.951,7.144,11.084,14.017,28.003,
89S-4M-7L,,696,15.736,5.076,2.951,11.845,16.107,19.047,34.062,
Scenario Name - Increasing demand - Histopathology,,,,,,,,,,
Baseline - 1 Cx Bx per day,,722,5.939,1.925,2.805,4.87,5.149,6.98,15.124,
2x Demand - 3 Biopsies per day,,1503,8.773,4.094,2.772,5.929,7.915,10.111,25.93,
3x Demand - 5 Biopsies per day,,2109,9.695,4.515,2.863,6.051,8.953,11.833,28.744,
4x Demand - 7 Biopsies per day,,2826,10.794,4.766,2.863,6.988,10.067,12.971,29.961,
5x Demand - 9 Biopsies per day,,3593,12.47,5.234,3.758,8.8,11.946,15.042,36.02,
6x Demand - 11 Biopsies per day,,4210,20.273,7,3.769,15.841,20.01,24.034,47.099,
7x Demand - 14 Biopsies per day,,4968,25.477,9.898,3.762,18.821,25.999,32.818,60.049,
Scenario Name - Resilience with increasing demand JR Patho srtike 6 days- Histopath,,,,,,,,,,
Baseline - 1 Cx Bx per day,,709,6.83,2.886,2.841,5.016,6.036,8.073,22.124,111.6666667
2x Demand - 3 Biopsies per day,,1403,8.749,4.082,3.094,5.934,7.732,10.922,26.957,83.66666667
3x Demand - 5 Biopsies per day,,2114,10.829,5.232,3.126,6.949,9.92,13.007,33.899,28
4x Demand - 7 Biopsies per day,,2866,11.665,5.353,3.749,7.087,11.05,14.145,33.916,64.67
5x Demand - 9 Biopsies per day,,3586,15.475,6.547,3.774,10.97,14.762,19.606,43.82,6
6x Demand - 11 Biopsies per day,,4180,22.129,7.918,3.769,16.996,22.036,25.897,50.917,1
7x Demand - 14 Biopsies per day,,4843,28.384,11.038,3.762,21.942,29.915,35.083,59.999,inf
Scenario Name - Resilience with increasing demand Tissue Processing equipment breakdown,,,,,,,,,,
Baseline - 1 Cx Bx per day,,718,7.027,2.847,2.841,5.073,6.118,8.092,21.034,107.6666667
2x Demand - 3 Biopsies per day,,1413,8.755,3.787,2.889,5.972,7.933,10.825,25.967,180
3x Demand - 5 Biopsies per day,,2135,11.531,5.238,3.126,7.83,10.926,14.05,35.79,150
4x Demand - 7 Biopsies per day,,2919,12.04,5.258,3.152,8.067,11.794,14.906,33.052,inf
5x Demand - 9 Biopsies per day,,3600,16.152,6.107,3.775,11.874,15.854,19.895,41.845,inf
6x Demand - 11 Biopsies per day,,4077,25.4,8.99,3.769,19.976,26.122,30.955,55.016,inf
7x Demand - 14 Biopsies per day,,4919,27.396,10.323,3.762,20.893,29.035,34.792,60.773,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
