group,process,stat,value
non_pap_smear,turnaround,count,7581.0
non_pap_smear,turnaround,mean,5.698195873455569
non_pap_smear,turnaround,std,2.8942701991619333
non_pap_smear,turnaround,min,0.18055555555555555
non_pap_smear,turnaround,25%,2.964583333333333
non_pap_smear,turnaround,50%,5.975694444444445
non_pap_smear,turnaround,75%,7.029861111111111
non_pap_smear,turnaround,max,32.85347222222222
pap_smear,turnaround,count,7504.0
pap_smear,turnaround,mean,5.636597703447051
pap_smear,turnaround,std,2.684224527936992
pap_smear,turnaround,min,0.13194444444444445
pap_smear,turnaround,25%,2.977777777777778
pap_smear,turnaround,50%,5.986111111111111
pap_smear,turnaround,75%,7.020138888888889
pap_smear,turnaround,max,24.92222222222222
