group,process,stat,value
non_pap_smear,screening,count,7618.0
non_pap_smear,screening,mean,4.423054406960124
non_pap_smear,screening,std,2.2466489400312715
non_pap_smear,screening,min,-0.7152777777777778
non_pap_smear,screening,25%,2.1368055555555556
non_pap_smear,screening,50%,5.126388888888889
non_pap_smear,screening,75%,6.188194444444444
non_pap_smear,screening,max,8.260416666666666
non_pap_smear,reporting,count,7581.0
non_pap_smear,reporting,mean,0.6632621392662944
non_pap_smear,reporting,std,0.19084382443113368
non_pap_smear,reporting,min,0.0
non_pap_smear,reporting,25%,0.6736111111111112
non_pap_smear,reporting,50%,0.6861111111111111
non_pap_smear,reporting,75%,0.7
non_pap_smear,reporting,max,1.6416666666666666
pap_smear,screening,count,7534.0
pap_smear,screening,mean,4.486896992891485
pap_smear,screening,std,2.2343981473353582
pap_smear,screening,min,-0.7277777777777777
pap_smear,screening,25%,2.157638888888889
pap_smear,screening,50%,5.148611111111111
pap_smear,screening,75%,6.198611111111111
pap_smear,screening,max,8.23611111111111
pap_smear,reporting,count,7504.0
pap_smear,reporting,mean,0.6662849258173419
pap_smear,reporting,std,0.18827985495750157
pap_smear,reporting,min,0.0
pap_smear,reporting,25%,0.6743055555555556
pap_smear,reporting,50%,0.6868055555555556
pap_smear,reporting,75%,0.7006944444444444
pap_smear,reporting,max,1.6409722222222223
