resource_name,utilisation_key,process_name,task,capacity,start_min,end_min,duration_min
Cytotechnicians,Cytotechnicians,manual staining,,3,101.91062129062288,136.91062129062288,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,101.91062129062288,136.91062129062288,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,136.91062129062288,171.91062129062288,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,136.91062129062288,171.91062129062288,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,171.91062129062288,206.91062129062288,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,171.91062129062288,206.91062129062288,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,218.49971273883463,253.49971273883463,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,218.49971273883463,253.49971273883463,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,253.49971273883463,288.49971273883466,35.00000000000003
Manual Staining Station,Manual Staining Station,manual staining,,1,253.49971273883463,288.49971273883466,35.00000000000003
Cytotechnicians,Cytotechnicians,manual staining,,3,288.49971273883466,323.49971273883466,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,288.49971273883466,323.49971273883466,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,323.49971273883466,358.49971273883466,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,323.49971273883466,358.49971273883466,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,358.49971273883466,393.49971273883466,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,358.49971273883466,393.49971273883466,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,393.49971273883466,428.49971273883466,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,393.49971273883466,428.49971273883466,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,467.33961432299907,502.33961432299907,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,467.33961432299907,502.33961432299907,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,502.33961432299907,537.3396143229991,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,502.33961432299907,537.3396143229991,35.0
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,550.1903037397502,10.19030373975022
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,553.3689066947555,13.368906694755538
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,553.6243490690085,13.624349069008531
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,558.0422987142556,18.042298714255594
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,553.3689066947555,563.3506083983854,9.981701703629824
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,558.0422987142556,569.144671995534,11.10237328127846
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,569.3058508212655,29.305850821265494
Cytotechnicians,Cytotechnicians,manual staining,,3,537.3396143229991,572.3396143229991,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,537.3396143229991,572.3396143229991,35.0
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,553.6243490690085,575.0633997629475,21.439050693938952
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,569.3058508212655,575.6865877642807,6.380736943015222
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,563.3506083983854,576.7921572156326,13.44154881724728
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,569.144671995534,581.0324330712558,11.887761075721755
