utilisation_key,resource_name,task,capacity,resource_type,calendar_minutes,scheduled_available_minutes,analysis_start_min,analysis_end_min,denominator_source_key,duration_min,available_person_minutes,utilisation_pct
Embedding Station,Embedding Station,,1,equipment,480960,149040.0,44640,525600,Histotechnicians,20520.0,149040.0,13.77
Grossing Station,Grossing Station,,2,equipment,480960,123660.0,44640,525600,Junior Pathologists (grossing),173410.0,247320.0,70.12
Histotechnicians,Histotechnicians,,11,scheduled,480960,149040.0,44640,525600,Histotechnicians,1220961.317584335,1639440.0,74.47
Junior Pathologists,Junior Pathologists,,6,task_scheduled,480960,192540.0,44640,525600,Junior Pathologists,,1155240.0,
Junior Pathologists (grossing),Junior Pathologists,grossing,6,task_scheduled,480960,123660.0,44640,525600,Junior Pathologists (grossing),452023.39817460184,741960.0,60.92
Junior Pathologists (screening),Junior Pathologists,screening,6,task_scheduled,480960,68880.0,44640,525600,Junior Pathologists (screening),385041.9784652787,413280.0,93.17
Sectioning Station,Sectioning Station,,1,equipment,480960,149040.0,44640,525600,Histotechnicians,93172.0,149040.0,62.51
Senior Pathologists,Senior Pathologists,,5,scheduled,480960,63240.0,44640,525600,Senior Pathologists,253751.33288433478,316200.0,80.25
Staining Station,Staining Station,,1,equipment,480960,149040.0,44640,525600,Histotechnicians,65030.0,149040.0,43.63
Tissue Processor,Tissue Processor,,1,equipment,480960,480960.0,44640,525600,Tissue Processor,300960.0,480960.0,62.57
