group,process,stat,value
cervical_biopsy,fixation,count,723.0
cervical_biopsy,fixation,mean,0.0
cervical_biopsy,fixation,std,0.0
cervical_biopsy,fixation,min,0.0
cervical_biopsy,fixation,25%,0.0
cervical_biopsy,fixation,50%,0.0
cervical_biopsy,fixation,75%,0.0
cervical_biopsy,fixation,max,0.0
cervical_biopsy,grossing,count,722.0
cervical_biopsy,grossing,mean,0.6433325638658048
cervical_biopsy,grossing,std,0.7813008220139822
cervical_biopsy,grossing,min,0.0
cervical_biopsy,grossing,25%,0.0
cervical_biopsy,grossing,50%,0.5503472222222223
cervical_biopsy,grossing,75%,0.8402777777777778
cervical_biopsy,grossing,max,5.654861111111111
cervical_biopsy,screening,count,716.0
cervical_biopsy,screening,mean,1.0079890207945374
cervical_biopsy,screening,std,1.1815528858349462
cervical_biopsy,screening,min,-1.61875
cervical_biopsy,screening,25%,0.17916666666666667
cervical_biopsy,screening,50%,0.4065972222222223
cervical_biopsy,screening,75%,1.3038194444444444
cervical_biopsy,screening,max,7.691666666666666
cervical_biopsy,reporting,count,713.0
cervical_biopsy,reporting,mean,0.9032686613682406
cervical_biopsy,reporting,std,0.628974321166509
cervical_biopsy,reporting,min,-7.216666666666667
cervical_biopsy,reporting,25%,0.6729166666666667
cervical_biopsy,reporting,50%,0.6826388888888889
cervical_biopsy,reporting,75%,0.69375
cervical_biopsy,reporting,max,2.8208333333333333
non_cervical_biopsy,fixation,count,13065.0
non_cervical_biopsy,fixation,mean,0.0
non_cervical_biopsy,fixation,std,0.0
non_cervical_biopsy,fixation,min,0.0
non_cervical_biopsy,fixation,25%,0.0
non_cervical_biopsy,fixation,50%,0.0
non_cervical_biopsy,fixation,75%,0.0
non_cervical_biopsy,fixation,max,0.0
non_cervical_biopsy,grossing,count,13035.0
non_cervical_biopsy,grossing,mean,0.7603280164514342
non_cervical_biopsy,grossing,std,0.6578629840945865
non_cervical_biopsy,grossing,min,0.0
non_cervical_biopsy,grossing,25%,0.4979166666666667
non_cervical_biopsy,grossing,50%,0.6263888888888889
non_cervical_biopsy,grossing,75%,0.7819444444444444
non_cervical_biopsy,grossing,max,5.711805555555555
non_cervical_biopsy,screening,count,12939.0
non_cervical_biopsy,screening,mean,0.9831010467922129
non_cervical_biopsy,screening,std,1.131125734226901
non_cervical_biopsy,screening,min,-1.6097222222222223
non_cervical_biopsy,screening,25%,0.17083333333333334
non_cervical_biopsy,screening,50%,0.3993055555555556
non_cervical_biopsy,screening,75%,1.2798611111111111
non_cervical_biopsy,screening,max,7.695833333333334
non_cervical_biopsy,reporting,count,12917.0
non_cervical_biopsy,reporting,mean,0.9326054488916414
non_cervical_biopsy,reporting,std,0.600881992504272
non_cervical_biopsy,reporting,min,-7.207638888888889
non_cervical_biopsy,reporting,25%,0.6729166666666667
non_cervical_biopsy,reporting,50%,0.6833333333333333
non_cervical_biopsy,reporting,75%,0.6951388888888889
non_cervical_biopsy,reporting,max,2.8256944444444443
