resource_name,utilisation_key,process_name,task,capacity,start_min,end_min,duration_min
Cytotechnicians,Cytotechnicians,manual staining,,3,167.6424851624915,202.6424851624915,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,167.6424851624915,202.6424851624915,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,202.6424851624915,237.6424851624915,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,202.6424851624915,237.6424851624915,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,495.20189810000846,530.2018981000085,35.00000000000006
Manual Staining Station,Manual Staining Station,manual staining,,1,495.20189810000846,530.2018981000085,35.00000000000006
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,548.9906682774782,8.990668277478221
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,549.7768366333762,9.776836633376206
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,554.9866574144652,14.986657414465185
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,559.7674019025973,19.76740190259727
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,540.0,559.7880647167389,19.78806471673886
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,548.9906682774782,572.137553115024,23.146884837545826
Senior Pathologists,Senior Pathologists,Reporting,,3,1560.0,1561.9880819190523,1.9880819190523198
Senior Pathologists,Senior Pathologists,Reporting,,3,1560.0,1562.87649139351,2.876491393509923
Senior Pathologists,Senior Pathologists,Reporting,,3,1560.0,1562.9903304451498,2.990330445149766
Senior Pathologists,Senior Pathologists,Reporting,,3,1561.9880819190523,1569.9201682545488,7.932086335496479
Senior Pathologists,Senior Pathologists,Reporting,,3,1562.87649139351,1587.0451236962663,24.16863230275635
Cytotechnicians,Cytotechnicians,manual staining,,3,1554.8756345570007,1589.8756345570007,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,1554.8756345570007,1589.8756345570007,35.0
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,1740.0,1751.5153198750143,11.515319875014256
Junior Cytopathologists,Junior Cytopathologists,slide screening,,5,1740.0,1751.754185419347,11.754185419347095
Senior Pathologists,Senior Pathologists,Reporting,,3,1751.754185419347,1754.9606413943754,3.206455975028348
