utilisation_key,resource_name,task,capacity,resource_type,calendar_minutes,scheduled_available_minutes,analysis_start_min,analysis_end_min,denominator_source_key,duration_min,available_person_minutes,utilisation_pct
Embedding Station,Embedding Station,,1,equipment,44640,13680.0,0,44640,Histotechnicians,450.0,13680.0,3.29
Grossing Station,Grossing Station,,2,equipment,44640,10980.0,0,44640,Junior Pathologists (grossing),2930.0,21960.0,13.34
Histotechnicians,Histotechnicians,,11,scheduled,44640,13680.0,0,44640,Histotechnicians,20196.59351062145,150480.0,13.42
Junior Pathologists,Junior Pathologists,,6,task_scheduled,44640,17220.0,0,44640,Junior Pathologists,,103320.0,
Junior Pathologists (grossing),Junior Pathologists,grossing,6,task_scheduled,44640,10980.0,0,44640,Junior Pathologists (grossing),5542.00847238399,65880.0,8.41
Junior Pathologists (screening),Junior Pathologists,screening,6,task_scheduled,44640,6240.0,0,44640,Junior Pathologists (screening),5863.77232765724,37440.0,15.66
Sectioning Station,Sectioning Station,,1,equipment,44640,13680.0,0,44640,Histotechnicians,1570.0,13680.0,11.48
Senior Pathologists,Senior Pathologists,,5,scheduled,44640,5640.0,0,44640,Senior Pathologists,3340.5315123319506,28200.0,11.85
Staining Station,Staining Station,,1,equipment,44640,13680.0,0,44640,Histotechnicians,1085.0,13680.0,7.93
Tissue Processor,Tissue Processor,,1,equipment,44640,44640.0,0,44640,Tissue Processor,6600.0,44640.0,14.78
