group,process,stat,value
cervical_biopsy,fixation,count,63.0
cervical_biopsy,fixation,mean,0.0
cervical_biopsy,fixation,std,0.0
cervical_biopsy,fixation,min,0.0
cervical_biopsy,fixation,25%,0.0
cervical_biopsy,fixation,50%,0.0
cervical_biopsy,fixation,75%,0.0
cervical_biopsy,fixation,max,0.0
cervical_biopsy,grossing,count,60.0
cervical_biopsy,grossing,mean,0.4686342592592592
cervical_biopsy,grossing,std,0.5605008995069991
cervical_biopsy,grossing,min,0.0
cervical_biopsy,grossing,25%,0.0
cervical_biopsy,grossing,50%,0.4434027777777778
cervical_biopsy,grossing,75%,0.6522569444444445
cervical_biopsy,grossing,max,1.7708333333333333
cervical_biopsy,screening,count,58.0
cervical_biopsy,screening,mean,0.20506465517241382
cervical_biopsy,screening,std,0.09014159850313222
cervical_biopsy,screening,min,0.04791666666666667
cervical_biopsy,screening,25%,0.14027777777777778
cervical_biopsy,screening,50%,0.175
cervical_biopsy,screening,75%,0.2616319444444445
cervical_biopsy,screening,max,0.3909722222222222
cervical_biopsy,reporting,count,53.0
cervical_biopsy,reporting,mean,0.7384171907756814
cervical_biopsy,reporting,std,0.4057861049806016
cervical_biopsy,reporting,min,-1.1194444444444445
cervical_biopsy,reporting,25%,0.6777777777777778
cervical_biopsy,reporting,50%,0.6847222222222222
cervical_biopsy,reporting,75%,0.6923611111111111
cervical_biopsy,reporting,max,1.8569444444444445
non_cervical_biopsy,fixation,count,192.0
non_cervical_biopsy,fixation,mean,0.0
non_cervical_biopsy,fixation,std,0.0
non_cervical_biopsy,fixation,min,0.0
non_cervical_biopsy,fixation,25%,0.0
non_cervical_biopsy,fixation,50%,0.0
non_cervical_biopsy,fixation,75%,0.0
non_cervical_biopsy,fixation,max,0.0
non_cervical_biopsy,grossing,count,181.0
non_cervical_biopsy,grossing,mean,0.5551603744628607
non_cervical_biopsy,grossing,std,0.4556611167204741
non_cervical_biopsy,grossing,min,0.0
non_cervical_biopsy,grossing,25%,0.3993055555555556
non_cervical_biopsy,grossing,50%,0.5305555555555556
non_cervical_biopsy,grossing,75%,0.6340277777777777
non_cervical_biopsy,grossing,max,1.7868055555555555
non_cervical_biopsy,screening,count,167.0
non_cervical_biopsy,screening,mean,0.20237025948103793
non_cervical_biopsy,screening,std,0.09361020880532697
non_cervical_biopsy,screening,min,0.04791666666666667
non_cervical_biopsy,screening,25%,0.13333333333333333
non_cervical_biopsy,screening,50%,0.16041666666666668
non_cervical_biopsy,screening,75%,0.25555555555555554
non_cervical_biopsy,screening,max,0.3902777777777778
non_cervical_biopsy,reporting,count,149.0
non_cervical_biopsy,reporting,mean,0.7520460477255779
non_cervical_biopsy,reporting,std,0.33212326681818755
non_cervical_biopsy,reporting,min,-1.104861111111111
non_cervical_biopsy,reporting,25%,0.6784722222222223
non_cervical_biopsy,reporting,50%,0.6875
non_cervical_biopsy,reporting,75%,0.6923611111111111
non_cervical_biopsy,reporting,max,1.863888888888889
