resource_name,utilisation_key,process_name,task,capacity,start_min,end_min,duration_min
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,420.0,430.0,10.0
Grossing Station,Grossing Station,Grossing,,2,420.0,430.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,420.0,430.0,10.0
Grossing Station,Grossing Station,Grossing,,2,420.0,430.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,458.49383273729285,468.49383273729285,10.0
Grossing Station,Grossing Station,Grossing,,2,458.49383273729285,468.49383273729285,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,492.68727999430735,502.68727999430735,10.0
Grossing Station,Grossing Station,Grossing,,2,492.68727999430735,502.68727999430735,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0,1510.0,10.0
Grossing Station,Grossing Station,Grossing,,2,1500.0,1510.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0,1510.0,10.0
Grossing Station,Grossing Station,Grossing,,2,1500.0,1510.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0,1520.0,20.0
Grossing Station,Grossing Station,Grossing,,2,1510.0,1520.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0,1520.0,20.0
Grossing Station,Grossing Station,Grossing,,2,1510.0,1520.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0000000028251,1530.0,29.999999997174882
Grossing Station,Grossing Station,Grossing,,2,1520.0,1530.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0000000035225,1530.0,29.999999996477527
Grossing Station,Grossing Station,Grossing,,2,1520.0,1530.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1510.0,1540.0,30.0
Grossing Station,Grossing Station,Grossing,,2,1530.0,1540.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1510.0,1540.0,30.0
Grossing Station,Grossing Station,Grossing,,2,1530.0,1540.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1520.0,1550.0,30.0
Grossing Station,Grossing Station,Grossing,,2,1540.0,1550.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,4380.0,4390.0,10.0
Grossing Station,Grossing Station,Grossing,,2,4380.0,4390.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,4380.0,4390.0,10.0
Grossing Station,Grossing Station,Grossing,,2,4380.0,4390.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,4380.0,4400.0,20.0
Grossing Station,Grossing Station,Grossing,,2,4390.0,4400.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,4380.0,4400.0,20.0
Grossing Station,Grossing Station,Grossing,,2,4390.0,4400.0,10.0
