group,process,stat,value
non_pap_smear,screening,count,4637.0
non_pap_smear,screening,mean,53.9716215285266
non_pap_smear,screening,std,35.25557339717969
non_pap_smear,screening,min,-48.763888888888886
non_pap_smear,screening,25%,26.28125
non_pap_smear,screening,50%,55.24027777777778
non_pap_smear,screening,75%,84.22777777777777
non_pap_smear,screening,max,111.12361111111112
non_pap_smear,reporting,count,4457.0
non_pap_smear,reporting,mean,0.6661454827611997
non_pap_smear,reporting,std,0.1927161295046608
non_pap_smear,reporting,min,0.0
non_pap_smear,reporting,25%,0.6743055555555556
non_pap_smear,reporting,50%,0.6868055555555556
non_pap_smear,reporting,75%,0.7013888888888888
non_pap_smear,reporting,max,1.6493055555555556
pap_smear,screening,count,11163.0
pap_smear,screening,mean,54.6858106393144
pap_smear,screening,std,33.636562123279134
pap_smear,screening,min,-48.80138888888889
pap_smear,screening,25%,27.28298611111111
pap_smear,screening,50%,55.325
pap_smear,screening,75%,83.89444444444445
pap_smear,screening,max,111.16319444444444
pap_smear,reporting,count,10939.0
pap_smear,reporting,mean,0.668161953662228
pap_smear,reporting,std,0.19580840473294683
pap_smear,reporting,min,0.0
pap_smear,reporting,25%,0.675
pap_smear,reporting,50%,0.6868055555555556
pap_smear,reporting,75%,0.7
pap_smear,reporting,max,1.6576388888888889
