group,process,stat,value
non_pap_smear,screening,count,7580.0
non_pap_smear,screening,mean,0.332653364116095
non_pap_smear,screening,std,0.36020197254415276
non_pap_smear,screening,min,0.0
non_pap_smear,screening,25%,0.10972222222222222
non_pap_smear,screening,50%,0.23333333333333334
non_pap_smear,screening,75%,0.32586805555555554
non_pap_smear,screening,max,1.3152777777777778
non_pap_smear,reporting,count,7560.0
non_pap_smear,reporting,mean,0.6403013852145796
non_pap_smear,reporting,std,0.1830152886319094
non_pap_smear,reporting,min,0.0
non_pap_smear,reporting,25%,0.6756944444444445
non_pap_smear,reporting,50%,0.6861111111111111
non_pap_smear,reporting,75%,0.6944444444444444
non_pap_smear,reporting,max,0.8423611111111111
pap_smear,screening,count,2245.0
pap_smear,screening,mean,0.3495158995298193
pap_smear,screening,std,0.3670994965192974
pap_smear,screening,min,0.0
pap_smear,screening,25%,0.12708333333333333
pap_smear,screening,50%,0.2569444444444444
pap_smear,screening,75%,0.3263888888888889
pap_smear,screening,max,1.3159722222222223
pap_smear,reporting,count,2236.0
pap_smear,reporting,mean,0.6372605471079309
pap_smear,reporting,std,0.18669625997421047
pap_smear,reporting,min,0.0
pap_smear,reporting,25%,0.6763888888888889
pap_smear,reporting,50%,0.6868055555555556
pap_smear,reporting,75%,0.6951388888888889
pap_smear,reporting,max,0.8395833333333333
