Simulation day,Pap smears,Cervical biopsies (next day)
0,3,0
1,7,1
2,3,0
3,10,1
4,5,1
5,8,0
6,3,0
7,6,0
8,5,0
9,6,1
10,5,0
11,6,0
12,6,1
13,6,1
14,7,2
15,4,0
16,2,0
17,8,1
18,5,0
19,4,1
20,9,0
21,3,0
22,5,2
23,5,0
24,5,1
25,6,1
26,5,0
27,4,1
28,9,0
29,5,1
30,7,0
31,7,1
32,6,0
33,11,1
34,4,0
35,6,1
36,7,0
37,8,0
38,5,0
39,5,1
40,4,0
41,8,1
42,11,0
43,6,1
44,5,0
45,6,2
46,5,1
47,4,0
48,7,2
49,2,0
50,6,2
51,7,0
52,5,0
53,8,0
54,5,0
55,3,0
56,10,0
57,4,1
58,3,1
59,5,0
60,4,0
61,5,1
62,9,0
63,8,1
64,5,0
65,6,0
66,6,0
67,12,1
68,8,0
69,7,2
70,5,0
71,7,3
72,4,1
73,12,1
74,4,0
75,9,3
76,8,0
77,6,0
78,4,0
79,6,0
80,7,1
81,9,0
82,6,0
83,8,0
84,6,2
85,4,1
86,7,0
87,4,0
88,9,1
89,6,0
90,5,1
91,8,1
92,2,1
93,7,1
94,4,0
95,6,0
96,6,0
97,7,1
98,7,1
99,9,0
100,8,0
101,7,1
102,11,2
103,5,1
104,2,0
105,6,1
106,3,1
107,6,1
108,7,0
109,10,1
110,6,0
111,5,2
112,7,0
113,9,0
114,5,0
115,3,0
116,7,0
117,5,0
118,6,1
119,2,1
120,8,3
121,3,0
122,7,2
123,8,0
124,3,0
125,4,1
126,4,1
127,3,1
128,4,1
129,4,1
130,3,0
131,6,0
132,10,1
133,5,2
134,4,0
135,6,0
136,6,2
137,5,0
138,9,2
139,4,0
140,6,0
141,7,2
142,5,0
143,8,0
144,6,0
145,7,2
146,5,0
147,10,0
148,4,0
149,2,0
150,5,1
151,11,1
152,7,0
153,5,2
154,2,0
155,5,0
156,8,0
157,4,0
158,6,0
159,6,0
160,13,0
161,3,0
162,9,1
163,4,0
164,8,1
165,4,0
166,4,0
167,9,2
168,8,0
169,8,1
170,4,0
171,6,0
172,7,0
173,7,2
174,7,0
175,6,0
176,9,0
177,7,1
178,8,0
179,7,0
180,7,0
181,6,1
182,7,0
183,6,1
184,6,0
185,6,0
186,7,1
187,9,1
188,4,0
189,7,1
190,4,3
191,5,1
192,6,1
193,5,0
194,12,1
195,6,0
196,3,0
197,6,0
198,9,2
199,3,0
200,7,2
201,9,1
202,7,1
203,5,0
204,8,1
205,5,1
206,6,1
207,6,0
208,5,0
209,4,0
210,6,0
211,9,0
212,9,1
213,4,0
214,4,0
215,3,1
216,4,2
217,6,1
218,5,1
219,4,0
220,5,0
221,9,0
222,4,0
223,8,1
224,5,0
225,8,1
226,8,2
227,4,0
228,6,2
229,4,1
230,3,1
231,4,0
232,8,1
233,4,1
234,2,0
235,4,0
236,11,1
237,1,1
238,4,0
239,4,1
240,4,0
241,7,2
242,11,1
243,4,0
244,7,0
245,3,0
246,7,0
247,5,1
248,8,2
249,6,0
250,7,0
251,9,0
252,5,0
253,8,0
254,7,0
255,2,1
256,4,0
257,8,0
258,4,0
259,3,0
260,5,0
261,8,2
262,6,0
263,5,0
264,7,0
265,9,1
266,5,0
267,9,0
268,8,1
269,6,1
270,8,1
271,5,0
272,12,1
273,8,0
274,8,1
275,8,1
276,4,0
277,9,0
278,10,0
279,6,0
280,4,0
281,5,1
282,4,0
283,3,0
284,8,1
285,8,3
286,4,0
287,5,0
288,4,1
289,6,0
290,8,0
291,4,1
292,7,2
293,9,0
294,6,0
295,9,1
296,7,0
297,7,1
298,7,1
299,7,0
300,6,1
301,8,2
302,2,0
303,4,1
304,5,0
305,5,0
306,4,0
307,6,0
308,5,0
309,7,0
310,7,0
311,4,0
312,6,0
313,4,1
314,6,3
315,5,0
316,8,2
317,3,0
318,7,0
319,4,2
320,4,0
321,9,1
322,7,1
323,5,1
324,8,1
325,5,1
326,7,0
327,8,0
328,9,1
329,6,1
330,5,0
331,6,0
332,8,1
333,5,1
334,7,1
335,4,1
336,6,1
337,10,1
338,5,1
339,9,1
340,3,1
341,6,0
342,7,0
343,5,1
344,7,0
345,5,0
346,5,1
347,7,0
348,9,1
349,10,2
350,9,2
351,7,0
352,5,1
353,4,1
354,5,1
355,10,2
356,9,0
357,7,0
358,5,0
359,6,0
360,7,2
361,5,0
362,3,0
363,5,0
364,5,1
