slide_id,entry_time,entry_datetime,fixation_start,fixation_start_datetime,fixation_end,fixation_end_datetime,staining_start,staining_start_datetime,staining_end,staining_end_datetime,reporting_start,reporting_start_datetime,reporting_end,reporting_end_datetime,exit_time,exit_datetime,fixation_reagent_used_ml,stain_reagent_used_ml,total_time_days,total_time_hours
1,0.049796083716739985,10:11 01/05/25,0.049796083716739985,10:11 01/05/25,0.06021275038340665,10:26 01/05/25,0.10257386149451761,11:27 01/05/25,0.12687941705007316,12:02 01/05/25,0.12687941705007316,12:02 01/05/25,0.13061186241907244,12:08 01/05/25,0.13061186241907244,12:08 01/05/25,10,10,0.08081577870233245,1.9395786888559787
2,0.06258502003494427,10:30 01/05/25,0.06258502003494427,10:30 01/05/25,0.07300168670161095,10:45 01/05/25,0.10257386149451761,11:27 01/05/25,0.12687941705007316,12:02 01/05/25,0.13061186241907244,12:08 01/05/25,0.13262840636656875,12:10 01/05/25,0.13262840636656875,12:10 01/05/25,10,10,0.07004338633162448,1.6810412719589873
3,0.09946806129226313,11:23 01/05/25,0.09946806129226313,11:23 01/05/25,0.1098847279589298,11:38 01/05/25,0.15224583907004077,12:39 01/05/25,0.17655139462559633,13:14 01/05/25,0.17655139462559633,13:14 01/05/25,0.18041559681831076,13:19 01/05/25,0.18041559681831076,13:19 01/05/25,10,10,0.08094753552604764,1.9427408526251433
4,0.18487251125583654,13:26 01/05/25,0.18487251125583654,13:26 01/05/25,0.1952891779225032,13:41 01/05/25,0.23765028903361415,14:42 01/05/25,0.2619558445891697,15:17 01/05/25,0.2619558445891697,15:17 01/05/25,0.26458691602508405,15:21 01/05/25,0.26458691602508405,15:21 01/05/25,10,10,0.07971440476924752,1.9131457144619404
5,0.19047309513426958,13:34 01/05/25,0.19047309513426958,13:34 01/05/25,0.20088976180093623,13:49 01/05/25,0.23765028903361415,14:42 01/05/25,0.2619558445891697,15:17 01/05/25,0.26458691602508405,15:21 01/05/25,0.26933681323995,15:27 01/05/25,0.26933681323995,15:27 01/05/25,10,10,0.07886371810568044,1.8927292345363305
6,1.0373499216821473,09:53 02/05/25,1.0373499216821473,09:53 02/05/25,1.047766588348814,10:08 02/05/25,1.0894332550154873,11:08 02/05/25,1.1137388105710428,11:43 02/05/25,1.1137388105710428,11:43 02/05/25,1.118180632361706,11:50 02/05/25,1.118180632361706,11:50 02/05/25,10,10,0.08083071067955871,1.9399370563094092
7,1.0397626940791738,09:57 02/05/25,1.0397626940791738,09:57 02/05/25,1.0501793607458405,10:12 02/05/25,1.0894332550154873,11:08 02/05/25,1.1137388105710428,11:43 02/05/25,1.118180632361706,11:50 02/05/25,1.1199621872929746,11:52 02/05/25,1.1199621872929746,11:52 02/05/25,10,10,0.08019949321380082,1.9247878371312197
8,1.0886188573308078,11:07 02/05/25,1.0886188573308078,11:07 02/05/25,1.0990355239974745,11:22 02/05/25,1.1407021906641477,12:22 02/05/25,1.1650077462197033,12:57 02/05/25,1.1650077462197033,12:57 02/05/25,1.168009232999188,13:01 02/05/25,1.168009232999188,13:01 02/05/25,10,10,0.07939037566838025,1.905369016041126
9,1.1177553211768552,11:49 02/05/25,1.1177553211768552,11:49 02/05/25,1.128171987843522,12:04 02/05/25,1.1407021906641477,12:22 02/05/25,1.1650077462197033,12:57 02/05/25,1.168009232999188,13:01 02/05/25,1.1718686275449413,13:07 02/05/25,1.1718686275449413,13:07 02/05/25,10,10,0.05411330636808609,1.2987193528340661
10,1.1889161288772545,13:32 02/05/25,1.1889161288772545,13:32 02/05/25,1.1993327955439212,13:47 02/05/25,1.2409994622105944,14:47 02/05/25,1.26530501776615,15:22 02/05/25,1.26530501776615,15:22 02/05/25,1.2701899352915258,15:29 02/05/25,1.2701899352915258,15:29 02/05/25,10,10,0.08127380641427129,1.950571353942511
