resource_name,utilisation_key,process_name,task,capacity,start_min,end_min,duration_min
Cytotechnicians,Cytotechnicians,manual staining,,3,101.91062129062288,136.91062129062288,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,101.91062129062288,136.91062129062288,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,105.98093229657341,171.91062129062288,65.92968899404947
Manual Staining Station,Manual Staining Station,manual staining,,1,136.91062129062288,171.91062129062288,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,183.80047452500213,218.80047452500213,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,183.80047452500213,218.80047452500213,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,273.6143569347763,308.6143569347763,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,273.6143569347763,308.6143569347763,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,319.1489327714621,354.1489327714621,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,319.1489327714621,354.1489327714621,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,368.971657368082,403.971657368082,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,368.971657368082,403.971657368082,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,419.99778011202625,454.99778011202625,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,419.99778011202625,454.99778011202625,35.0
Cytotechnicians,Cytotechnicians,manual staining,,3,450.3250938092954,489.99778011202625,39.672686302730824
Manual Staining Station,Manual Staining Station,manual staining,,1,454.99778011202625,489.99778011202625,35.0
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,540.0,556.0281116032984,16.028111603298385
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,540.0,556.987499582511,16.987499582510964
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,556.987499582511,563.829250561414,6.841750978903065
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,540.0,565.8207894932596,25.820789493259554
Cytotechnicians,Cytotechnicians,manual staining,,3,534.0053822722875,569.0053822722875,35.0
Manual Staining Station,Manual Staining Station,manual staining,,1,534.0053822722875,569.0053822722875,35.0
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,556.0281116032984,574.3540043791542,18.325892775855777
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,565.8207894932596,577.5385441741288,11.717754680869234
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,577.5385441741288,583.182095869232,5.643551695103156
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,563.829250561414,586.3460770750227,22.516826513608635
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,586.3460770750227,594.2939881090236,7.947911034000981
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,583.182095869232,596.5510025639875,13.368906694755538
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,574.3540043791542,603.6826588523861,29.32865447323195
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,596.5510025639875,603.7343202851292,7.183317721141748
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,594.2939881090236,606.7769886427561,12.48300053373248
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,603.7343202851292,611.729244064689,7.9949237795598265
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,606.7769886427561,620.7868097883758,14.00982114561964
Junior Cytopathologists,Junior Cytopathologists,slide screening,,3,620.7868097883758,632.3257179207324,11.538908132356596
