utilisation_key,resource_name,task,capacity,resource_type,calendar_minutes,scheduled_available_minutes,analysis_start_min,analysis_end_min
Histotechnicians,Histotechnicians,,11,scheduled,480960,149040.0,44640,525600
Senior Pathologists,Senior Pathologists,,3,scheduled,480960,63240.0,44640,525600
Junior Pathologists,Junior Pathologists,,6,task_scheduled,480960,192540.0,44640,525600
Junior Pathologists (grossing),Junior Pathologists,grossing,6,task_scheduled,480960,123660.0,44640,525600
Junior Pathologists (screening),Junior Pathologists,screening,6,task_scheduled,480960,68880.0,44640,525600
Grossing Station,Grossing Station,,2,equipment,480960,480960.0,44640,525600
Tissue Processor,Tissue Processor,,1,equipment,480960,480960.0,44640,525600
Embedding Station,Embedding Station,,1,equipment,480960,480960.0,44640,525600
Sectioning Station,Sectioning Station,,1,equipment,480960,480960.0,44640,525600
Staining Station,Staining Station,,1,equipment,480960,480960.0,44640,525600
