group        , process   , stat , value
non_pap_smear, turnaround, count, 7775.0
non_pap_smear, turnaround, mean ,    1.2244578420864596
non_pap_smear, turnaround, std  ,    0.5954318783030681
non_pap_smear, turnaround, min  ,    0.05347222222222222
non_pap_smear, turnaround, 25%  ,    0.8708333333333333
non_pap_smear, turnaround, 50%  ,    0.9895833333333334
non_pap_smear, turnaround, 75%  ,    1.7673611111111112
non_pap_smear, turnaround, max  ,    4.9222222222222225
pap_smear    , turnaround, count, 2193.0
pap_smear    , turnaround, mean ,    1.1854052667578658
pap_smear    , turnaround, std  ,    0.5646689597380463
pap_smear    , turnaround, min  ,    0.05416666666666667
pap_smear    , turnaround, 25%  ,    0.8680555555555556
pap_smear    , turnaround, 50%  ,    1.0048611111111112
pap_smear    , turnaround, 75%  ,    1.738888888888889
pap_smear    , turnaround, max  ,    3.0861111111111112
