run_index,seed,summary_type,dataset,group,process,resource,statistic,value
0,99,waiting_time,patient,non_pap_smear,screening,,count,7596.0
0,99,waiting_time,patient,non_pap_smear,screening,,mean,0.3140269366918261
0,99,waiting_time,patient,non_pap_smear,screening,,std,0.35248542428682894
0,99,waiting_time,patient,non_pap_smear,screening,,min,0.0
0,99,waiting_time,patient,non_pap_smear,screening,,25%,0.10555555555555556
0,99,waiting_time,patient,non_pap_smear,screening,,50%,0.21666666666666667
0,99,waiting_time,patient,non_pap_smear,screening,,75%,0.3034722222222222
0,99,waiting_time,patient,non_pap_smear,screening,,max,1.3090277777777777
0,99,waiting_time,patient,non_pap_smear,reporting,,count,7572.0
0,99,waiting_time,patient,non_pap_smear,reporting,,mean,0.6391917224276574
0,99,waiting_time,patient,non_pap_smear,reporting,,std,0.18161835253055947
0,99,waiting_time,patient,non_pap_smear,reporting,,min,0.0
0,99,waiting_time,patient,non_pap_smear,reporting,,25%,0.6763888888888889
0,99,waiting_time,patient,non_pap_smear,reporting,,50%,0.6861111111111111
0,99,waiting_time,patient,non_pap_smear,reporting,,75%,0.69375
0,99,waiting_time,patient,non_pap_smear,reporting,,max,0.8402777777777778
0,99,waiting_time,patient,pap_smear,screening,,count,2174.0
0,99,waiting_time,patient,pap_smear,screening,,mean,0.3327430236123889
0,99,waiting_time,patient,pap_smear,screening,,std,0.3553100878091863
0,99,waiting_time,patient,pap_smear,screening,,min,0.0
0,99,waiting_time,patient,pap_smear,screening,,25%,0.12569444444444444
0,99,waiting_time,patient,pap_smear,screening,,50%,0.24027777777777778
0,99,waiting_time,patient,pap_smear,screening,,75%,0.30625
0,99,waiting_time,patient,pap_smear,screening,,max,1.3090277777777777
0,99,waiting_time,patient,pap_smear,reporting,,count,2169.0
0,99,waiting_time,patient,pap_smear,reporting,,mean,0.6385936939705957
0,99,waiting_time,patient,pap_smear,reporting,,std,0.18068714631592248
0,99,waiting_time,patient,pap_smear,reporting,,min,0.0
0,99,waiting_time,patient,pap_smear,reporting,,25%,0.6763888888888889
0,99,waiting_time,patient,pap_smear,reporting,,50%,0.6868055555555556
0,99,waiting_time,patient,pap_smear,reporting,,75%,0.6944444444444444
0,99,waiting_time,patient,pap_smear,reporting,,max,0.8354166666666667
0,99,waiting_time,slide,all,fixation,,count,13008.0
0,99,waiting_time,slide,all,fixation,,mean,0.0
0,99,waiting_time,slide,all,fixation,,std,0.0
0,99,waiting_time,slide,all,fixation,,min,0.0
0,99,waiting_time,slide,all,fixation,,25%,0.0
0,99,waiting_time,slide,all,fixation,,50%,0.0
0,99,waiting_time,slide,all,fixation,,75%,0.0
0,99,waiting_time,slide,all,fixation,,max,0.0
0,99,waiting_time,slide,all,staining,,count,13733.0
0,99,waiting_time,slide,all,staining,,mean,0.15377112713091742
0,99,waiting_time,slide,all,staining,,std,0.27056086922644984
0,99,waiting_time,slide,all,staining,,min,0.0
0,99,waiting_time,slide,all,staining,,25%,0.010416666666666666
0,99,waiting_time,slide,all,staining,,50%,0.025694444444444443
0,99,waiting_time,slide,all,staining,,75%,0.06388888888888888
0,99,waiting_time,slide,all,staining,,max,0.91875
0,99,resource_utilisation,,,,Cytotechnicians,utilisation_pct,32.68
0,99,resource_utilisation,,,,Junior Cytopathologists,utilisation_pct,76.64
0,99,resource_utilisation,,,,Manual Staining Station,utilisation_pct,70.5
0,99,resource_utilisation,,,,Senior Pathologists,utilisation_pct,24.84
