group              , process  , stat , value
cervical_biopsy    , screening, count, 744.0
cervical_biopsy    , screening, mean , 2.040164837216248
cervical_biopsy    , screening, std  , 5.394616558509232
cervical_biopsy    , screening, min  , -75.89861111111111
cervical_biopsy    , screening, 25%  , 0.3296875
cervical_biopsy    , screening, 50%  , 2.015625
cervical_biopsy    , screening, 75%  , 3.493402777777778
cervical_biopsy    , screening, max  , 7.90625
cervical_biopsy    , reporting, count, 607.0
cervical_biopsy    , reporting, mean , 34.60213023979498
cervical_biopsy    , reporting, std  , 23.57757125094995
cervical_biopsy    , reporting, min  , -8.921527777777778
cervical_biopsy    , reporting, 25%  , 13.807986111111111
cervical_biopsy    , reporting, 50%  , 35.60208333333333
cervical_biopsy    , reporting, 75%  , 53.873958333333334
cervical_biopsy    , reporting, max  , 75.79097222222222
non_cervical_biopsy, screening, count, 14813.0
non_cervical_biopsy, screening, mean , 2.166518711042103
non_cervical_biopsy, screening, std  , 3.9372193337688683
non_cervical_biopsy, screening, min  , -75.89930555555556
non_cervical_biopsy, screening, 25%  , 0.32916666666666666
non_cervical_biopsy, screening, 50%  , 2.0375
non_cervical_biopsy, screening, 75%  , 3.3520833333333333
non_cervical_biopsy, screening, max  , 7.922916666666667
non_cervical_biopsy, reporting, count, 11719.0
non_cervical_biopsy, reporting, mean , 33.92259726607314
non_cervical_biopsy, reporting, std  , 23.681501330054267
non_cervical_biopsy, reporting, min  , -8.939583333333333
non_cervical_biopsy, reporting, 25%  , 12.974652777777777
non_cervical_biopsy, reporting, 50%  , 32.702777777777776
non_cervical_biopsy, reporting, 75%  , 54.64340277777778
non_cervical_biopsy, reporting, max  , 75.79027777777777
