group,process,stat,value
non_pap_smear,screening,count,7622.0
non_pap_smear,screening,mean,0.4013700290095921
non_pap_smear,screening,std,0.613087187119835
non_pap_smear,screening,min,0.0
non_pap_smear,screening,25%,0.11388888888888889
non_pap_smear,screening,50%,0.22708333333333333
non_pap_smear,screening,75%,0.3090277777777778
non_pap_smear,screening,max,5.309027777777778
non_pap_smear,reporting,count,7603.0
non_pap_smear,reporting,mean,0.6399579113507826
non_pap_smear,reporting,std,0.18230650837841056
non_pap_smear,reporting,min,0.0
non_pap_smear,reporting,25%,0.6756944444444445
non_pap_smear,reporting,50%,0.6854166666666667
non_pap_smear,reporting,75%,0.6944444444444444
non_pap_smear,reporting,max,0.8354166666666667
pap_smear,screening,count,2177.0
pap_smear,screening,mean,0.4100976751901189
pap_smear,screening,std,0.6075721665216381
pap_smear,screening,min,0.0
pap_smear,screening,25%,0.11875
pap_smear,screening,50%,0.23819444444444443
pap_smear,screening,75%,0.3090277777777778
pap_smear,screening,max,5.309027777777778
pap_smear,reporting,count,2168.0
pap_smear,reporting,mean,0.6356963022755228
pap_smear,reporting,std,0.19026497252789398
pap_smear,reporting,min,0.0
pap_smear,reporting,25%,0.6756944444444445
pap_smear,reporting,50%,0.6861111111111111
pap_smear,reporting,75%,0.6951388888888889
pap_smear,reporting,max,0.8333333333333334
