group,process,stat,value
cervical_biopsy,turnaround,count,557.0
cervical_biopsy,turnaround,mean,51.61972371833234
cervical_biopsy,turnaround,std,32.52656963201181
cervical_biopsy,turnaround,min,5.0472222222222225
cervical_biopsy,turnaround,25%,25.961805555555557
cervical_biopsy,turnaround,50%,47.825694444444444
cervical_biopsy,turnaround,75%,70.17777777777778
cervical_biopsy,turnaround,max,188.9298611111111
non_cervical_biopsy,turnaround,count,11762.0
non_cervical_biopsy,turnaround,mean,53.42529243184266
non_cervical_biopsy,turnaround,std,33.030117422117215
non_cervical_biopsy,turnaround,min,3.0180555555555557
non_cervical_biopsy,turnaround,25%,28.071354166666666
non_cervical_biopsy,turnaround,50%,50.03993055555556
non_cervical_biopsy,turnaround,75%,71.85625
non_cervical_biopsy,turnaround,max,195.03958333333333
