resource_name,utilisation_key,process_name,task,capacity,start_min,end_min,duration_min
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,420.0,430.0,10.0
Grossing Station,Grossing Station,Grossing,,2,420.0,430.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,420.0,430.0,10.0
Grossing Station,Grossing Station,Grossing,,2,420.0,430.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,430.0,440.0,10.0
Grossing Station,Grossing Station,Grossing,,2,430.0,440.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,433.0641413465024,443.0641413465024,10.0
Grossing Station,Grossing Station,Grossing,,2,433.0641413465024,443.0641413465024,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,475.10683104840217,485.10683104840217,10.0
Grossing Station,Grossing Station,Grossing,,2,475.10683104840217,485.10683104840217,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,477.5149789133981,487.5149789133981,10.0
Grossing Station,Grossing Station,Grossing,,2,477.5149789133981,487.5149789133981,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,486.4421128837284,496.4421128837284,10.0
Grossing Station,Grossing Station,Grossing,,2,486.4421128837284,496.4421128837284,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,497.798563370526,507.798563370526,10.0
Grossing Station,Grossing Station,Grossing,,2,497.798563370526,507.798563370526,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,503.27388998917615,513.2738899891762,10.0
Grossing Station,Grossing Station,Grossing,,2,503.27388998917615,513.2738899891762,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,507.798563370526,517.7985633705259,9.999999999999943
Grossing Station,Grossing Station,Grossing,,2,507.798563370526,517.7985633705259,9.999999999999943
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,513.2738899891762,523.2738899891762,10.0
Grossing Station,Grossing Station,Grossing,,2,513.2738899891762,523.2738899891762,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,527.1526325761035,537.1526325761035,10.0
Grossing Station,Grossing Station,Grossing,,2,527.1526325761035,537.1526325761035,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0,1510.0,10.0
Grossing Station,Grossing Station,Grossing,,2,1500.0,1510.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1500.0,1510.0,10.0
Grossing Station,Grossing Station,Grossing,,2,1500.0,1510.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1510.0,1520.0,10.0
Grossing Station,Grossing Station,Grossing,,2,1510.0,1520.0,10.0
Junior Pathologists,Junior Pathologists (grossing),Grossing,grossing,6,1510.0,1520.0,10.0
Grossing Station,Grossing Station,Grossing,,2,1510.0,1520.0,10.0
