group,process,stat,value
non_pap_smear,turnaround,count,112.0
non_pap_smear,turnaround,mean,151.98394717261905
non_pap_smear,turnaround,std,85.81705793015288
non_pap_smear,turnaround,min,1.04375
non_pap_smear,turnaround,25%,75.84531249999999
non_pap_smear,turnaround,50%,145.45555555555558
non_pap_smear,turnaround,75%,225.17152777777778
non_pap_smear,turnaround,max,306.06805555555553
pap_smear,turnaround,count,15273.0
pap_smear,turnaround,mean,156.36698681223945
pap_smear,turnaround,std,89.79446788529971
pap_smear,turnaround,min,1.0347222222222223
pap_smear,turnaround,25%,79.00277777777778
pap_smear,turnaround,50%,156.79513888888889
pap_smear,turnaround,75%,233.05277777777778
pap_smear,turnaround,max,343.8847222222222
