resource_name,utilisation_key,process_name,task,capacity,start_min,end_min,duration_min
Cytotechnicians,Cytotechnicians,manual staining,,30,88.3055177396993,123.3055177396993,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,88.3055177396993,123.3055177396993,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,97.77757280498723,132.77757280498724,35.000000000000014
Manual Staining Station,Manual Staining Station,manual staining,,10,97.77757280498723,132.77757280498724,35.000000000000014
Cytotechnicians,Cytotechnicians,manual staining,,30,102.9146926538931,137.9146926538931,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,102.9146926538931,137.9146926538931,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,110.85600750678292,145.85600750678293,35.000000000000014
Manual Staining Station,Manual Staining Station,manual staining,,10,110.85600750678292,145.85600750678293,35.000000000000014
Cytotechnicians,Cytotechnicians,manual staining,,30,119.63109175092177,154.63109175092177,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,119.63109175092177,154.63109175092177,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,130.37726142785124,165.37726142785124,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,130.37726142785124,165.37726142785124,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,136.06399776149004,171.06399776149004,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,136.06399776149004,171.06399776149004,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,148.26907733249985,183.26907733249985,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,148.26907733249985,183.26907733249985,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,152.38639402727065,187.38639402727065,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,152.38639402727065,187.38639402727065,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,158.70752826406655,193.70752826406655,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,158.70752826406655,193.70752826406655,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,164.35844367810734,199.35844367810734,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,164.35844367810734,199.35844367810734,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,171.02214755717014,206.02214755717014,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,171.02214755717014,206.02214755717014,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,180.11708735877767,215.11708735877767,35.0
Manual Staining Station,Manual Staining Station,manual staining,,10,180.11708735877767,215.11708735877767,35.0
Cytotechnicians,Cytotechnicians,manual staining,,30,184.88896393036032,219.88896393036032,35.0
