run_index, seed, summary_type        , dataset, group        , process  , resource               , statistic      , value
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , count          ,  7799.0
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , mean           ,     0.30126725648587427
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , std            ,     0.3382734875863343
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , min            ,     0.0
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , 25%            ,     0.10625
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , 50%            ,     0.21319444444444444
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , 75%            ,     0.3
        0,   42, waiting_time        , patient, non_pap_smear, screening,                        , max            ,     1.3090277777777777
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , count          ,  7775.0
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , mean           ,     0.6393490532332976
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , std            ,     0.1829142819398361
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , min            ,     0.0
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , 25%            ,     0.6756944444444445
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , 50%            ,     0.6861111111111111
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , 75%            ,     0.6944444444444444
        0,   42, waiting_time        , patient, non_pap_smear, reporting,                        , max            ,     0.8368055555555556
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , count          ,  2202.0
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , mean           ,     0.3168429584216369
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , std            ,     0.3539581485572793
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , min            ,     0.0
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , 25%            ,     0.11197916666666667
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , 50%            ,     0.22708333333333333
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , 75%            ,     0.3013888888888889
        0,   42, waiting_time        , patient, pap_smear    , screening,                        , max            ,     1.3090277777777777
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , count          ,  2193.0
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , mean           ,     0.6368530551755587
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , std            ,     0.18741594224515182
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , min            ,     0.0
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , 25%            ,     0.6763888888888889
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , 50%            ,     0.6868055555555556
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , 75%            ,     0.6951388888888889
        0,   42, waiting_time        , patient, pap_smear    , reporting,                        , max            ,     0.8347222222222223
        0,   42, waiting_time        , slide  , all          , fixation ,                        , count          , 13454.0
        0,   42, waiting_time        , slide  , all          , fixation ,                        , mean           ,     0.0
        0,   42, waiting_time        , slide  , all          , fixation ,                        , std            ,     0.0
        0,   42, waiting_time        , slide  , all          , fixation ,                        , min            ,     0.0
        0,   42, waiting_time        , slide  , all          , fixation ,                        , 25%            ,     0.0
        0,   42, waiting_time        , slide  , all          , fixation ,                        , 50%            ,     0.0
        0,   42, waiting_time        , slide  , all          , fixation ,                        , 75%            ,     0.0
        0,   42, waiting_time        , slide  , all          , fixation ,                        , max            ,     0.0
        0,   42, waiting_time        , slide  , all          , staining ,                        , count          , 14230.0
        0,   42, waiting_time        , slide  , all          , staining ,                        , mean           ,     0.16215268017490433
        0,   42, waiting_time        , slide  , all          , staining ,                        , std            ,     0.27693937359563353
        0,   42, waiting_time        , slide  , all          , staining ,                        , min            ,     0.0
        0,   42, waiting_time        , slide  , all          , staining ,                        , 25%            ,     0.010416666666666666
        0,   42, waiting_time        , slide  , all          , staining ,                        , 50%            ,     0.027777777777777776
        0,   42, waiting_time        , slide  , all          , staining ,                        , 75%            ,     0.07152777777777777
        0,   42, waiting_time        , slide  , all          , staining ,                        , max            ,     0.9375
        0,   42, resource_utilisation,        ,              ,          , Cytotechnicians        , utilisation_pct,    34.79
        0,   42, resource_utilisation,        ,              ,          , Junior Cytopathologists, utilisation_pct,    78.78
        0,   42, resource_utilisation,        ,              ,          , Manual Staining Station, utilisation_pct,    72.99
        0,   42, resource_utilisation,        ,              ,          , Senior Pathologists    , utilisation_pct,    25.46
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , count          ,  7705.0
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , mean           ,     0.31845807195904535
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , std            ,     0.3519253650015098
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , min            ,     0.0
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , 25%            ,     0.11041666666666666
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , 50%            ,     0.21875
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , 75%            ,     0.3090277777777778
        1,   43, waiting_time        , patient, non_pap_smear, screening,                        , max            ,     1.3090277777777777
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , count          ,  7677.0
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , mean           ,     0.6386647344882984
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , std            ,     0.18274529760496744
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , min            ,     0.0
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , 25%            ,     0.6756944444444445
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , 50%            ,     0.6861111111111111
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , 75%            ,     0.6944444444444444
        1,   43, waiting_time        , patient, non_pap_smear, reporting,                        , max            ,     0.8388888888888889
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , count          ,  2178.0
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , mean           ,     0.33054790327517597
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , std            ,     0.3583845598683859
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , min            ,     0.0
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , 25%            ,     0.12100694444444444
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , 50%            ,     0.23506944444444444
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , 75%            ,     0.30694444444444446
        1,   43, waiting_time        , patient, pap_smear    , screening,                        , max            ,     1.3090277777777777
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , count          ,  2168.0
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , mean           ,     0.6353849554120541
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , std            ,     0.18734078219201256
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , min            ,     0.0
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , 25%            ,     0.6756944444444445
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , 50%            ,     0.6861111111111111
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , 75%            ,     0.6951388888888889
        1,   43, waiting_time        , patient, pap_smear    , reporting,                        , max            ,     0.8347222222222223
        1,   43, waiting_time        , slide  , all          , fixation ,                        , count          , 12974.0
        1,   43, waiting_time        , slide  , all          , fixation ,                        , mean           ,     0.0
        1,   43, waiting_time        , slide  , all          , fixation ,                        , std            ,     0.0
        1,   43, waiting_time        , slide  , all          , fixation ,                        , min            ,     0.0
        1,   43, waiting_time        , slide  , all          , fixation ,                        , 25%            ,     0.0
        1,   43, waiting_time        , slide  , all          , fixation ,                        , 50%            ,     0.0
        1,   43, waiting_time        , slide  , all          , fixation ,                        , 75%            ,     0.0
        1,   43, waiting_time        , slide  , all          , fixation ,                        , max            ,     0.0
        1,   43, waiting_time        , slide  , all          , staining ,                        , count          , 13681.0
        1,   43, waiting_time        , slide  , all          , staining ,                        , mean           ,     0.1614237405485304
        1,   43, waiting_time        , slide  , all          , staining ,                        , std            ,     0.2748026069032271
        1,   43, waiting_time        , slide  , all          , staining ,                        , min            ,     0.0
        1,   43, waiting_time        , slide  , all          , staining ,                        , 25%            ,     0.010416666666666666
        1,   43, waiting_time        , slide  , all          , staining ,                        , 50%            ,     0.027777777777777776
        1,   43, waiting_time        , slide  , all          , staining ,                        , 75%            ,     0.07777777777777778
        1,   43, waiting_time        , slide  , all          , staining ,                        , max            ,     0.9527777777777777
        1,   43, resource_utilisation,        ,              ,          , Cytotechnicians        , utilisation_pct,    33.34
        1,   43, resource_utilisation,        ,              ,          , Junior Cytopathologists, utilisation_pct,    76.75
        1,   43, resource_utilisation,        ,              ,          , Manual Staining Station, utilisation_pct,    70.33
        1,   43, resource_utilisation,        ,              ,          , Senior Pathologists    , utilisation_pct,    24.79
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , count          ,  7634.0
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , mean           ,     0.3008496346752831
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , std            ,     0.33646529692810295
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , min            ,     0.0
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , 25%            ,     0.1076388888888889
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , 50%            ,     0.21319444444444444
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , 75%            ,     0.29930555555555555
        2,   44, waiting_time        , patient, non_pap_smear, screening,                        , max            ,     1.3090277777777777
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , count          ,  7611.0
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , mean           ,     0.6362404925619353
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , std            ,     0.18693821305743366
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , min            ,     0.0
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , 25%            ,     0.675
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , 50%            ,     0.6861111111111111
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , 75%            ,     0.6944444444444444
        2,   44, waiting_time        , patient, non_pap_smear, reporting,                        , max            ,     0.8354166666666667
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , count          ,  2256.0
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , mean           ,     0.3117132092198582
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , std            ,     0.3405632253053022
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , min            ,     0.0
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , 25%            ,     0.11597222222222223
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , 50%            ,     0.2298611111111111
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , 75%            ,     0.30069444444444443
        2,   44, waiting_time        , patient, pap_smear    , screening,                        , max            ,     1.3090277777777777
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , count          ,  2249.0
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , mean           ,     0.6312947729855244
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , std            ,     0.1936363006498457
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , min            ,     0.0
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , 25%            ,     0.6763888888888889
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , 50%            ,     0.6861111111111111
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , 75%            ,     0.6951388888888889
        2,   44, waiting_time        , patient, pap_smear    , reporting,                        , max            ,     0.8347222222222223
        2,   44, waiting_time        , slide  , all          , fixation ,                        , count          , 13341.0
        2,   44, waiting_time        , slide  , all          , fixation ,                        , mean           ,     0.0
        2,   44, waiting_time        , slide  , all          , fixation ,                        , std            ,     0.0
        2,   44, waiting_time        , slide  , all          , fixation ,                        , min            ,     0.0
        2,   44, waiting_time        , slide  , all          , fixation ,                        , 25%            ,     0.0
        2,   44, waiting_time        , slide  , all          , fixation ,                        , 50%            ,     0.0
        2,   44, waiting_time        , slide  , all          , fixation ,                        , 75%            ,     0.0
        2,   44, waiting_time        , slide  , all          , fixation ,                        , max            ,     0.0
        2,   44, waiting_time        , slide  , all          , staining ,                        , count          , 14132.0
        2,   44, waiting_time        , slide  , all          , staining ,                        , mean           ,     0.15770321296034218
